丹参,川芎,甘草,朱砂,连翘,当归
粳米,白糖,牛蒡
乳香,绿豆粉
白酒,杏仁,鲜仙人掌,羌活
乳香,地龙,黄柏,黄连,大黄,黄芩
艾曲,椒目,桂,干姜,黑附子,细辛
油,葱,苎麻根,活鲤鱼,姜,糯米
香油,白蜡,冰片面,黄柏,待温浓时再兑,煅蛤粉
葶苈,没药,大戟,乳香,甘遂,泽泻
丛枝蓼,白花败酱草,辅料
车前子,青粱米
粳米,车前子
葱,赤小豆,活鲤鱼1尾,鸡汤,辣椒,姜
大腹子,紫苏,人参,桑白皮,五味子,茯苓
蟾酥,血竭,没药,乳香,枯矾,铜绿
蟾酥,没药,乳香,铜绿,枯矾,胆矾
花椒,铜绿,李仁,黄连,蕤仁,青盐
粳米,白糖,茶叶
冰片,没药,川军,乳香,赤芍,花粉
葶苈,紫苏,郁李仁,泽泻,沉香,琥珀
续随子,甘遂,黑牵牛,槟榔,白牵牛,全蝎
板蓝根,连翘,葛根,贝母,柴胡,射干
白胶香,蓖麻子仁
橘核,荔枝核,煨莪术,酒炒破故纸,煨三棱,青盐
冰片,枯矾,陈皮,胭脂,麝香5厘,龙衣
西瓜霜,西丹参,西月石,飞青黛,濂珠,老式大泥冰
大梅片,真熊胆,瓜制枪消,珍珠,关犀黄,枣仁
玄明粉,西月石,飞辰砂,梅冰,炒僵蚕
冰片,硼砂,明矾丹参,皮硝,山豆根,青黛
硼砂,马勃,青鱼胆,贝母,琥珀,丹参
大梅片,真熊胆,瓜制枪消,珍珠,白玄明粉,明雄精
紫荆皮,赤豆,白芷,独活,菖蒲
川紫荆皮,木蜡,白芷,芍药,独活
苍耳子,液状石腊,白芷,辛夷,冰片粉,薄荷
蒲公英,三七,赤芍,薄荷,黄柏,土鳖虫
没药,乳香,五倍子,赤芍,无名异,苏木
乳香,北细辛,甘草,苍术
鲜败酱草
蓖麻子
黑丑,五灵脂,香附
鲫鱼,巴豆
食盐,硼砂,火消,雄黄,皂矾,朱砂
蓖麻子
油,油,白蜡,黄丹,商陆根,柳白皮
没药,乳香,白蜡,铅粉,黄蜡,轻粉
